platform,product_id,product_name,brand,category,subcategory,model,variant,mrp,selling_price,discount_pct,rating,review_count,availability,inventory,seller,product_url,search_query,city,latitude,longitude,scrape_timestamp
Flipkart,COMHHW89AZHHY3FF,HP Victus(i5 14th Gen) Intel Core 5 210H - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15-fa2500tx / 15-fa2497tx Gaming Laptop,HP,Laptops,,,"15.6 inch, Mica Silver, Black Chrome Logo, 2.29 kg, With MS Office",147674.0,89990.0,39.0617170253396,4.2,10.0,True,1,,https://www.flipkart.com/-/p/-?pid=COMHHW89AZHHY3FF,HP laptop,Bengaluru,12.9716,77.5946,2026-08-14 17:40:24.867929
Flipkart,MOBHH2SHDXGYG2EZ,"Apple iPhone 17e (Soft Pink, 256 GB)",Apple,Smartphones,,,,64900.0,64900.0,0.0,4.5,47.0,True,1,,https://www.flipkart.com/-/p/-?pid=MOBHH2SHDXGYG2EZ,iPhone,Bengaluru,12.9716,77.5946,2026-08-14 17:40:05.613194
Amazon,B0G485GN9S,"Nothing Phone (3a) Lite (White, 256 GB) (8 GB RAM)",,Smartphones,,,,33999.0,29449.0,13.382746551369156,4.4,105.0,True,1,,https://www.amazon.in/dp/B0G485GN9S,Nothing smartphone,Delhi,28.6139,77.209,2026-08-14 18:32:24.249141
Amazon,B0FWDBH2T2,"2025 MacBook Pro Laptop with M5 chip, 10‑core CPU and 10‑core GPU: Built for Apple Intelligence, 35.97 cm (14.2″) Liquid Retina XDR Display, 24GB Unified Memory, 1TB SSD Storage; Space Black",,Laptops,,,,263900.0,250990.0,4.8920045471769615,5.0,8.0,True,1,,https://www.amazon.in/dp/B0FWDBH2T2,Apple MacBook,Delhi,28.6139,77.209,2026-08-14 18:32:57.747824
Amazon,B0G7L4PFFM,"Modern 14, Intel 13th Gen. Core i3 1315U,14” Inch (36CM) FHD 60Hz Thin & Light Business Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Intel UHD/Classic Black/1.4Kg), C13M-1465IN",,Laptops,,,1.4Kg,58990.0,49990.0,15.25682319037125,,,True,1,,https://www.amazon.in/dp/B0G7L4PFFM,MSI laptop,Delhi,28.6139,77.209,2026-08-14 18:32:44.601225
Amazon,B0BS1PRC4L,"WH-CH520 Wireless Bluetooth Headphones On Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint Connectivity, Voice Assistant, Customized EQ-Black",,Headphones/Earbuds,,,,5990.0,3925.0,34.47412353923205,4.2,30800.0,True,1,,https://www.amazon.in/dp/B0BS1PRC4L,Bose headphones,Delhi,28.6139,77.209,2026-08-14 18:33:04.286759
Amazon,B0CLRC13BP,"Crest 1.43” AMOLED Smart Watch with BT Calling, AI Morning Briefs, Functional Crown, Health Tracking, Aluminium Body, 100+ Sports Modes, Smartwatch for Men and Women - Black Mesh Strap",,Smartwatches,,,,13995.0,5399.0,61.42193640585924,4.0,852.0,True,1,,https://www.amazon.in/dp/B0CLRC13BP,Fossil smartwatch,Delhi,28.6139,77.209,2026-08-14 18:33:37.053852
Amazon,B0CCRZPKR1,"Momentum 4 Wireless Over Ear Headphones, German Design, ANC, 60h Battery, Customizable Sound, 4 Digital Mics for Crystal-Clear Calls, Multipoint Connectivity, 1 Yr Warranty, Black/Copper",,Headphones/Earbuds,,,,34990.0,26990.0,22.863675335810232,4.3,12600.0,True,1,,https://www.amazon.in/dp/B0CCRZPKR1,Sennheiser headphones,Delhi,28.6139,77.209,2026-08-14 18:33:10.432802
Amazon,B0F6ZCRGG5,108 cm (43 inch) A Full HD Smart Google LED TV L43MB-AFIN,,Televisions,,,,30999.0,21999.0,29.033194619181263,4.1,508.0,True,1,,https://www.amazon.in/dp/B0F6ZCRGG5,OnePlus TV,Delhi,28.6139,77.209,2026-08-14 18:33:42.996169
Amazon,B0H3LB843J,OnePlus N6 | 4GB+128GB | Midnight Green | Segment's Biggest 8000mAh Battery | Segment's Fastest 45W Charging | 48-Month Smoothness | Smooth 120Hz Display | 50MP Camera | Military-Grade Durability,,Smartphones,,,,30999.0,22998.0,25.81051001645214,3.4,268.0,True,1,,https://www.amazon.in/dp/B0H3LB843J,Nothing smartphone,Delhi,28.6139,77.209,2026-08-14 18:32:24.249259
Amazon,B0GY26RL13,"Bip Max 50mm Smartwatch, 2.07"" AMOLED Display, 20 Days of Battery, GPS, 4GB Storage, Offline Maps, Fitness Tracker, Hybrid Training, 150+ Sports, HYROX Mode, 5 ATM for Android & iPhone, Silver",,Smartwatches,,,,11999.0,10999.0,8.334027835652972,4.4,382.0,True,1,,https://www.amazon.in/dp/B0GY26RL13,Garmin smartwatch,Delhi,28.6139,77.209,2026-08-14 18:33:23.742929
Amazon,B0BYVRQZYL,"CVF500DA4 Double Door Deep freezer cum chiller, 469 Litres,convertible, GREY LATEST",,Home Appliances,,,,49990.0,30528.0,38.931786357271456,3.9,107.0,True,1,,https://www.amazon.in/dp/B0BYVRQZYL,Voltas refrigerator,Delhi,28.6139,77.209,2026-08-14 18:34:03.779856
Amazon,B0DVLH131Z,"T-Rex 3 (Smartchoice) Outdoor Rugged Military 48mm Smart Watch, Built in GPS, 27 Days Battery Life, Offline Maps, 2000 Nits Brightness, 10 ATM Water Resistance, AI Coach, iOS & Android (Lava)",,Smartwatches,,,,29999.0,19999.0,33.33444448148272,4.6,2300.0,True,1,,https://www.amazon.in/dp/B0DVLH131Z,Amazfit smartwatch,Delhi,28.6139,77.209,2026-08-14 18:33:30.604285
Amazon,B0GP6V371Z,"540 L 3 Star Frost Free Inverter Side by Side Refrigerator (HRS-615LB, Luxe Black, 360° Magic Cooling for Uniform Freshness, Dual Fresh Drawers for freshness, Deo Fresh Technology, 2026 Model)",,Home Appliances,,,540 L,95690.0,60990.0,36.26293238582924,4.1,784.0,True,1,,https://www.amazon.in/dp/B0GP6V371Z,Haier refrigerator,Delhi,28.6139,77.209,2026-08-14 18:34:16.280513
Amazon,B0GVNJ3QLF,189 cm (75 inches) E8S Series ULED MiniLED Smart TV 75E8S (Black),,Televisions,,,,166999.0,99990.0,40.12538997239504,4.3,209.0,True,1,,https://www.amazon.in/dp/B0GVNJ3QLF,Hisense TV,Delhi,28.6139,77.209,2026-08-14 18:33:56.716041
Amazon,B0DQPNXB5Q,"Thin 15, Intel 12th Gen. i7-12650H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Office 2021/NVIDIA GeForce RTX 2050, GDDR6 4GB/Cosmos Gray/1.86Kg) B12UC-2242IN",,Laptops,,,1.86Kg,83990.0,74990.0,10.715561376354328,2.9,2.0,True,1,,https://www.amazon.in/dp/B0DQPNXB5Q,MSI laptop,Delhi,28.6139,77.209,2026-08-14 18:32:44.601271
Amazon,B00DUCIK7U,Decker Brown Watch,,Smartwatches,,,,8995.0,5397.0,40.0,4.2,4200.0,True,1,,https://www.amazon.in/dp/B00DUCIK7U,Fossil smartwatch,Delhi,28.6139,77.209,2026-08-14 18:33:37.053813
Amazon,B0D9629NJQ,"Limitless Glide X 1.83"" Smart Watch with Ultra UV HD Display, SpO2, Heart Rate & Sleep Tracking, Bluetooth Calling, 100+ Sports Modes, 5-Day Battery, Smartwatch for Men & Women (Black)",,Smartwatches,,,,2799.0,1299.0,53.59056806002144,4.0,4500.0,True,1,,https://www.amazon.in/dp/B0D9629NJQ,Amazfit smartwatch,Delhi,28.6139,77.209,2026-08-14 18:33:30.604332
Amazon,B0GK769XNV,"180L 1Star 5 Years Comprehensive Warranty | New Launch | Advanced Capillary Technology| Jumbo Vegetable Tray| 2.25L Bottle Space Single Door Refrigerator (RD EDGE 205AN WRF PP BL, Pep Blue)",,Home Appliances,,,180L,17190.0,12610.0,26.6433973240256,4.0,150.0,True,1,,https://www.amazon.in/dp/B0GK769XNV,Godrej refrigerator,Delhi,28.6139,77.209,2026-08-14 18:34:10.333833
